Customer ID,Loan Sanction Amount (USD)
C-49131,19230.46986
C-29703,35985.39267
C-14880,30117.80073
C-36170,28322.33412
C-41645,15220.06909
C-4784,29134.83745
C-38418,55487.42858
C-13222,62414.32136
C-32852,17571.85942
C-21795,19673.73114
C-121,30830.46083
C-39952,28480.15369
C-45166,38703.50316
C-32641,44129.51937
C-27678,18151.23242
C-10704,95372.82795
C-33461,16214.71957
C-22001,83690.20273
C-30170,55795.23774
C-23960,51806.95404
C-16139,13570.6871
C-27022,6906.749731
C-19074,18401.51711
C-49284,11859.25138
C-8598,34044.77743
C-14962,28489.72903
C-35254,16368.9981
C-30635,85811.91728
C-6981,9455.216668
C-5924,24876.92271
C-9590,31682.45209
C-23842,53046.92792
C-45972,108728.6377
C-39623,65113.66091
C-49153,18714.79541
C-34958,58364.64632
C-36476,56881.48737
C-28630,28811.97356
C-12012,63464.48327
C-37986,63352.08498
C-11513,50478.31935
C-48999,62155.11215
C-7194,57054.98257
C-14162,50857.77191
C-6137,19903.711
C-7348,33185.98061
C-25756,20781.84692
C-40915,72649.9603
C-28646,18931.24735
C-31130,37185.65108
C-8532,11549.50957
C-24097,25132.70137
C-1855,7078.195733
C-35375,32277.38832
C-3997,130343.5039
C-42188,44782.45237
C-33694,3131.773451
C-1613,23592.12728
C-9405,65629.87706
C-5964,21589.89739
C-20231,22245.2463
C-23969,8520.347908
C-36011,106725.1832
C-23079,108476.7099
C-44925,14994.10532
C-9000,83533.89157
C-49513,17716.29413
C-49824,54934.93148
C-17542,97510.04062
C-39446,38153.25127
C-24862,21306.45262
C-30025,30859.87306
C-20039,15993.01564
C-34113,75805.86348
C-19871,50692.91449
C-7017,16864.58946
C-16017,66518.14499
C-1475,68573.94701
C-35040,51702.63954
C-37318,13597.27983
C-4757,63035.86518
C-26696,39677.88339
C-2450,98075.12573
C-38702,42266.78964
C-31969,34880.13092
C-34069,24991.39384
C-23160,21569.65416
C-30804,8948.461519
C-49195,59744.23057
C-13029,46013.89706
C-39590,8398.575304
C-45950,18316.57883
C-1907,136805.403
C-9729,23155.73482
C-24353,36920.46111
C-3768,102732.4162
C-48652,220483.0893
C-14858,13804.27794
C-32326,19289.15407
C-35385,22718.31861
C-45900,57533.91586
C-5823,30315.95334
C-29879,39457.69414
C-2015,38615.57917
C-19823,50433.5322
C-19528,50478.12178
C-40682,76962.63341
C-49354,-586.916285
C-25744,100910.653
C-14328,48530.76065
C-2727,71296.64373
C-45497,14187.49798
C-17894,147935.9232
C-10903,18550.5079
C-39413,58965.00136
C-4926,33634.31744
C-29376,19509.12243
C-7440,29465.21326
C-38279,26139.71305
C-43246,51743.57612
C-33701,46061.69562
C-1603,91284.02671
C-21756,26750.3446
C-20553,12427.47006
C-40318,31243.15203
C-23274,29347.24013
C-3521,11374.82949
C-19742,38430.60921
C-42176,20461.99169
C-33938,94649.32497
C-20363,89454.36838
C-1614,85426.75464
C-22568,20091.06351
C-24796,36415.79794
C-25092,46799.53887
C-40256,32022.8054
C-27504,43399.00334
C-25753,67402.58124
C-27194,41552.96532
C-17798,8925.711288
C-11864,27011.5308
C-722,17684.49132
C-8111,112109.073
C-25051,23752.73954
C-42216,34553.33555
C-20767,22799.49713
C-22334,47120.43123
C-23551,37552.94652
C-48437,7082.144231
C-21452,50175.04211
C-16307,38666.84834
C-29324,29204.19705
C-4513,15793.65523
C-32774,14564.82773
C-15695,17033.75329
C-48811,98609.58876
C-24101,59257.69679
C-17567,29535.8453
C-3203,33283.27457
C-27870,55176.73811
C-34250,60301.27701
C-6052,35335.35728
C-33730,73131.00696
C-33735,44305.00722
C-41784,19356.93152
C-36379,55379.79819
C-37051,40815.47089
C-45284,8987.229105
C-22611,17377.91337
C-15220,13306.22664
C-46916,15308.02864
C-16477,19353.95078
C-32921,47747.38145
C-10743,60317.96688
C-25717,8136.796686
C-38804,74426.50856
C-47665,99364.76323
C-47745,30157.94629
C-8340,102640.0523
C-35857,3195.269072
C-13835,67941.73565
C-8181,82844.07105
C-7606,10809.90291
C-28889,72058.3577
C-19884,8081.323435
C-26792,35350.03372
C-29963,59866.65416
C-23208,15908.43412
C-26232,101544.1833
C-38972,9035.607529
C-28626,92379.77803
C-3278,14408.9003
C-9079,26819.77692
C-18569,26916.26494
C-43756,26299.85265
C-17687,37612.18866
C-5824,78330.04892
C-6145,17057.38506
C-5160,19738.83224
C-13520,47807.36095
C-2648,15905.12159
C-9345,142439.1566
C-46369,156570.9187
C-34024,23721.54444
C-37594,20273.79107
C-16600,53628.39682
C-12689,82208.58448
C-31285,35291.19036
C-20977,67792.8471
C-8645,62051.58036
C-28949,62590.54453
C-42339,24853.88279
C-18516,72825.32079
C-26843,13874.46582
C-37352,47055.37402
C-9621,25050.14224
C-40583,23945.26724
C-44959,36725.26225
C-10087,64435.75621
C-31261,108832.9271
C-2632,40066.75024
C-35797,74918.62418
C-9943,25222.79819
C-48614,8104.975191
C-38577,22594.0351
C-9012,9072.117871
C-22068,22609.77443
C-34390,6750.279231
C-17445,12420.55168
C-42960,18426.6868
C-29172,18897.58406
C-8067,10104.91646
C-19101,32114.72916
C-16365,42388.22867
C-46578,91439.51032
C-7726,40418.30062
C-11802,52798.23138
C-26157,30563.87399
C-12804,5683.548408
C-13829,19167.58687
C-16434,39482.06081
C-27426,114712.6636
C-40208,101173.1363
C-35800,21389.55777
C-14093,70335.20099
C-11648,112638.6697
C-44330,42398.6901
C-3517,54290.10475
C-21658,55844.163
C-6711,24107.24001
C-16178,15943.03974
C-19315,33408.42332
C-12505,4066.948386
C-39404,50598.09405
C-23783,37783.22976
C-40002,35761.28365
C-30526,18147.38162
C-8034,37738.85563
C-33801,108679.3772
C-44646,40474.41969
C-32172,16252.81666
C-15887,70163.12427
C-391,37984.67304
C-35271,144101.474
C-45419,16202.61215
C-26170,3861.227193
C-41141,57388.06987
C-19608,16826.71592
C-12816,27513.83462
C-2852,32096.65997
C-23982,35804.22977
C-27035,41242.65592
C-19243,28286.88193
C-33098,19281.24231
C-18918,58782.74856
C-38094,21695.865
C-39100,54011.55977
C-10477,7272.001541
C-41693,21507.7828
C-25244,58743.32226
C-30176,131879.1598
C-43024,6524.720598
C-17663,25928.72379
C-18116,49920.01277
C-12113,57555.03102
C-47954,32945.17526
C-5056,115624.5229
C-13678,751.0774599
C-11014,27952.63057
C-38944,7059.954918
C-6241,116981.9503
C-3386,17304.16075
C-44010,17364.22665
C-38450,44861.13197
C-5233,37635.54183
C-29556,16477.05566
C-8420,91004.94527
C-15978,18466.69323
C-34580,17683.28713
C-31624,94516.01946
C-26269,18664.66839
C-22174,19838.38045
C-39257,72966.7388
C-461,-3342.397641
C-19987,15155.86563
C-22313,65185.24582
C-36169,34763.77997
C-27644,19696.3353
C-2735,12620.94117
C-15015,21261.37924
C-37397,25686.60794
C-45699,19393.7534
C-20783,46322.14876
C-17847,9424.003997
C-38305,6110.141867
C-6907,14860.06798
C-7342,92537.88275
C-7045,6018.367852
C-13221,64679.59367
C-34726,23938.39691
C-35426,60907.56759
C-43748,56809.31869
C-2888,26069.00266
C-32967,22062.69106
C-30265,80779.5651
C-13304,90179.83456
C-17380,44141.04628
C-1417,33821.32174
C-21679,34821.56378
C-31369,98714.86469
C-18618,18413.87661
C-15173,37636.42162
C-25409,78658.21146
C-22695,75067.41535
C-7870,91660.64352
C-35059,102388.6174
C-19262,66045.87769
C-10179,46365.88602
C-10978,44416.25536
C-45858,25164.09513
C-8194,18269.17082
C-9392,44783.23169
C-49795,33526.56792
C-23829,16859.59126
C-28834,4002.260176
C-45277,47436.63155
C-11440,21904.22333
C-10158,41548.46548
C-46131,36724.86256
C-27846,38078.08521
C-12099,23519.36517
C-7556,19571.77109
C-36717,58974.37063
C-6230,25781.43854
C-26450,76057.81473
C-42638,38937.04864
C-40852,64875.3988
C-48264,19169.1666
C-25725,37862.30657
C-1251,12979.03472
C-38116,59501.07412
C-33330,43850.60855
C-28034,26735.44883
C-15275,43328.79902
C-18947,66461.67455
C-45711,15966.25506
C-39206,74849.4534
C-2536,35986.56256
C-45427,119218.097
C-34637,40163.48983
C-8357,19212.06896
C-15199,85457.23871
C-42345,43855.59131
C-15973,54189.3987
C-778,9581.149844
C-18961,8325.970496
C-31944,59686.18028
C-49215,22601.27398
C-15736,15554.02922
C-39719,32194.95178
C-21669,72181.33721
C-12666,85857.9792
C-108,43976.64502
C-28294,35809.89938
C-931,44577.39588
C-46269,48908.47232
C-21864,45810.44668
C-40951,7313.69806
C-17344,38155.56305
C-30471,11224.09893
C-6151,8954.866191
C-49031,29434.85929
C-21146,41660.51792
C-9283,7319.765211
C-38375,5298.999124
C-37722,66306.17638
C-39145,77084.11716
C-7771,97655.97705
C-14611,49441.44074
C-3433,56468.18425
C-47000,155447.0893
C-38783,79612.79856
C-25384,38513.16671
C-27444,69705.56818
C-20567,52536.70216
C-19163,150625.0743
C-7784,12542.68202
C-42195,89407.28864
C-15641,63630.11779
C-45148,52883.52075
C-49786,66552.77888
C-43483,113784.9271
C-31900,25507.17348
C-7955,13225.39262
C-49917,103614.5562
C-20928,112090.5425
C-32586,96710.34885
C-8832,11315.63356
C-37974,33241.90291
C-11184,86571.62193
C-27932,12463.22784
C-22581,71021.03599
C-17470,58401.20004
C-35562,9537.48183
C-21391,22132.44243
C-2036,59389.83315
C-487,17400.1411
C-49534,66237.20499
C-27793,87603.99432
C-47718,16840.06769
C-28840,27649.2628
C-36903,149767.8123
C-12478,10153.47205
C-5497,65320.36804
C-19291,18017.84779
C-37414,118904.3824
C-27189,37978.53003
C-23974,49254.38252
C-37756,38688.85985
C-6994,11454.60292
C-26676,4170.574024
C-18336,15871.08759
C-39249,43509.71767
C-46594,57947.5865
C-46668,30818.00181
C-31182,22784.96985
C-33649,12994.71294
C-795,10483.44299
C-41864,8756.498009
C-27099,152390.5193
C-13217,8466.099312
C-27941,26031.47119
C-26999,42033.61642
C-19798,46765.15845
C-872,7498.255112
C-42696,68653.13218
C-4207,34642.71914
C-5977,24221.09686
C-37417,74613.77006
C-27520,89524.73559
C-28968,30532.84619
C-7218,89463.51839
C-9926,101582.1109
C-6283,8264.198213
C-28564,159452.5722
C-7458,40430.89513
C-23936,62289.40575
C-15056,34909.47475
C-48332,72692.41992
C-5285,58341.12512
C-22261,8463.859733
C-6649,49611.79779
C-39775,71147.25533
C-16672,5669.714877
C-22949,32689.69637
C-33264,88381.71575
C-18411,14074.54979
C-2981,16420.65981
C-25486,20568.676
C-20743,39793.78512
C-43852,93036.16028
C-33935,95450.67212
C-12280,198444.009
C-7324,37032.92161
C-10229,47936.77338
C-29096,63795.22901
C-7146,50254.96571
C-48092,8318.374064
C-7802,2210.426219
C-41995,54872.94389
C-24558,8856.588961
C-41069,55540.68373
C-49771,6700.821313
C-14429,19176.24923
C-36459,32233.56574
C-595,12312.05482
C-37861,19037.44842
C-5702,18720.29364
C-48665,18554.74834
C-44788,16272.95311
C-41968,64321.51108
C-28021,20044.22969
C-49046,116147.8498
C-48198,51751.54087
C-2224,31801.47154
C-29812,35437.02933
C-28119,16354.47172
C-33458,16983.17442
C-31298,28896.86083
C-42213,52508.06246
C-45134,9349.401094
C-18790,49554.04302
C-8651,28201.16028
C-34551,71493.26191
C-46838,146793.4192
C-45834,85493.09184
C-23656,44538.00515
C-35479,49386.20698
C-9171,104411.2869
C-32795,112465.2203
C-39761,11945.07434
C-6842,14806.65347
C-1477,112238.5035
C-29391,5355.056977
C-36372,43636.74459
C-3050,15830.12934
C-24135,6165.094238
C-17657,112141.6151
C-22379,66071.83813
C-48251,52362.36872
C-47996,19558.44638
C-46600,37005.45529
C-24183,32604.64972
C-39134,164226.7873
C-3569,58912.92844
C-44734,12755.82763
C-26917,34839.22725
C-43369,144575.6559
C-16973,62528.78726
C-10007,52118.54212
C-45821,28391.18333
C-22286,25125.34963
C-26486,39651.87606
C-4785,77321.00828
C-41874,41580.42336
C-40217,150796.3372
C-21423,53549.4752
C-42449,27156.44316
C-34243,73673.34614
C-3917,117408.8201
C-33066,63458.4502
C-2723,15490.58398
C-8412,69223.96972
C-9722,717.21381
C-38320,40828.6129
C-29676,12393.74512
C-27298,39183.23925
C-31654,15030.25277
C-13695,11523.23678
C-25086,6743.984702
C-44465,6885.126742
C-21654,54026.88009
C-41060,84043.91145
C-49595,71395.62257
C-6280,79572.94284
C-14434,13327.91871
C-35331,32183.07233
C-22482,42014.09896
C-39569,35028.82053
C-7791,85468.39938
C-41802,149191.372
C-39667,19868.81237
C-12376,43422.36217
C-40906,70069.22986
C-38890,20832.22565
C-37476,53917.56723
C-44946,80168.3671
C-44451,10751.94091
C-37113,136924.7881
C-29497,15454.10249
C-19756,14566.27181
C-10272,14662.06626
C-32834,96834.22863
C-23725,52605.85827
C-10753,36459.22489
C-17104,31610.71064
C-19153,52395.959
C-17340,1508.121755
C-43187,143883.8869
C-49532,34277.38428
C-9014,44532.09373
C-19519,49085.57509
C-46047,50121.53647
C-32269,9533.859615
C-808,12274.37675
C-25924,35604.05491
C-39832,41546.80781
C-9670,52839.576
C-44243,32790.17909
C-32273,2178.200184
C-38474,76372.36801
C-3098,108714.3271
C-1113,97552.08773
C-48460,38447.53348
C-14158,11304.24932
C-16411,115528.375
C-26187,97158.91649
C-47185,44352.61342
C-5417,49317.83399
C-43392,5052.055866
C-13685,178634.9465
C-18903,23459.22354
C-44156,4192.843999
C-28524,8027.989356
C-5184,40117.91169
C-45033,41565.90604
C-45354,94212.80733
C-41123,24541.48111
C-14213,15571.46496
C-6888,33755.46071
C-14104,5960.596432
C-2495,20885.86768
C-17057,110074.4639
C-5005,39889.92681
C-41297,42678.28263
C-42963,2413.732921
C-23251,14499.01803
C-23970,11435.26875
C-40714,119826.7282
C-38859,74106.82084
C-7112,61093.47331
C-18928,33455.76411
C-29862,74054.91281
C-30212,35498.83438
C-15021,60955.28337
C-7476,50411.11128
C-41600,18157.22135
C-32173,34290.44531
C-38518,30054.59031
C-38801,58618.48276
C-1784,78246.53698
C-24927,109782.6291
C-39547,71176.37649
C-43215,40937.76209
C-23422,15723.93645
C-37723,39786.65356
C-29178,82680.36508
C-19008,88008.06447
C-5849,74930.17674
C-6004,69000.81152
C-23104,14506.30316
C-24882,55843.00101
C-43468,10241.29657
C-35132,70019.85513
C-42580,134164.2721
C-11578,19843.92101
C-8678,1058.238782
C-19927,88109.01569
C-30508,22014.58205
C-44874,31480.46639
C-30186,61915.25963
C-10760,9733.843345
C-26481,57560.56824
C-46111,31158.58601
C-32145,96957.57755
C-32092,40018.9332
C-5752,83108.38793
C-16382,70475.57484
C-28591,99898.29062
C-44846,44995.70856
C-2932,38045.86921
C-36463,110920.5835
C-27695,29299.87063
C-40748,62227.57944
C-29783,100037.8348
C-49739,5512.107359
C-14812,57163.60662
C-17082,33566.42969
C-7455,85112.90531
C-19358,18955.31143
C-19549,30683.36308
C-2666,34085.41089
C-18984,57145.19218
C-13649,15544.52769
C-33798,14596.10336
C-10307,71545.50187
C-35501,41567.24119
C-8935,56109.83322
C-26153,11388.96958
C-4606,58277.82543
C-18360,41741.56593
C-39333,24819.04725
C-12426,89799.90606
C-6408,64430.35228
C-28868,9218.119483
C-42593,57034.5738
C-31808,82492.98411
C-32004,32561.56017
C-32204,35844.05014
C-12801,87180.46894
C-25815,57930.6873
C-22768,49084.81271
C-32048,53005.87149
C-19658,14416.19316
C-26891,3636.328655
C-40188,12230.06176
C-25433,16877.62947
C-10378,65909.32489
C-31318,131778.5586
C-15344,31400.69174
C-22888,23095.1065
C-43034,12368.82247
C-19211,39299.69162
C-10432,68099.98934
C-22014,7049.32411
C-18211,83178.4901
C-23968,28535.68804
C-48530,48035.63073
C-28054,17672.23811
C-2058,12188.85894
C-34942,81476.15992
C-530,47682.98017
C-38117,8104.9691
C-20913,16887.30276
C-47070,83582.90243
C-26019,30173.07255
C-28532,41094.49618
C-46716,47113.00446
C-39327,40497.20219
C-7240,24419.29898
C-37949,155505.3745
C-2195,144704.907
C-3355,70122.91985
C-19733,57026.10524
C-34255,62465.21143
C-49287,12013.94738
C-32256,77102.15333
C-22180,37639.88638
C-5193,34471.56673
C-38427,114046.1352
C-44886,131623.2715
C-3791,43710.27435
C-32566,47215.96175
C-15243,51993.44297
C-5240,39358.00654
C-49218,47968.98026
C-25534,9312.777082
C-47239,11208.67169
C-8774,38908.67772
C-16520,122647.3942
C-20311,76902.53644
C-3650,14311.59133
C-18558,25211.97873
C-14820,104650.9866
C-34556,102417.3533
C-43883,105785.1371
C-40653,25735.10414
C-47621,33019.85604
C-49147,50818.97705
C-440,129859.1471
C-11354,21993.54123
C-15107,53457.72673
C-24501,41912.35581
C-28551,24517.82215
C-28773,21158.64214
C-36617,127645.6481
C-28244,10319.81483
C-41307,99866.6378
C-832,41752.5541
C-8287,21883.77263
C-41225,84285.72954
C-13965,39716.25793
C-6491,53459.88339
C-10751,34813.66381
C-27955,19168.93905
C-29401,18498.55685
C-40588,19282.84168
C-41993,29287.73088
C-37136,103150.0634
C-41702,42478.50087
C-37634,37884.15969
C-7102,-8169.984162
C-32351,14228.89969
C-17461,50829.50965
C-2675,25984.44184
C-34452,92366.60988
C-35202,35877.55612
C-35085,124326.8486
C-25301,35175.92605
C-18247,10435.03744
C-26468,25394.21631
C-39744,85705.69467
C-39530,15840.5229
C-15276,26336.2109
C-27599,78256.10126
C-16294,91190.03038
C-45920,65307.18985
C-42972,61095.49647
C-35739,18190.94372
C-48070,16327.91547
C-20738,63875.69858
C-20164,34715.4701
C-35798,83991.92345
C-36931,34703.28633
C-40067,64070.22966
C-7033,4738.505016
C-2919,52157.27773
C-92,31953.44026
C-10068,82907.59014
C-30148,118615.1512
C-6804,9776.096174
C-41739,99413.68395
C-26448,8261.460174
C-5100,44800.44335
C-6401,127972.6167
C-14665,33348.24344
C-3315,18390.06231
C-20983,44246.42018
C-32947,55046.23044
C-13518,46797.47718
C-46708,40444.27063
C-6592,130461.9528
C-12364,14468.7455
C-46390,103709.0981
C-7318,35799.99837
C-12943,9721.867268
C-2883,47341.93132
C-25283,20077.7081
C-1618,3020.260962
C-1271,3396.057544
C-40127,57984.23587
C-36317,17280.59821
C-48952,45626.00057
C-29240,68100.04123
C-25093,13440.24131
C-12384,45267.10359
C-34319,29077.2399
C-47779,47303.26623
C-12945,51363.1162
C-36060,34009.73626
C-5616,-9660.601713
C-41883,46175.09976
C-9039,66460.72759
C-25362,70532.53817
C-13744,61872.39412
C-25047,126929.394
C-13036,80829.21263
C-36276,15009.27019
C-2811,14810.51425
C-21717,101776.5762
C-46988,38970.64043
C-48564,37602.41526
C-24260,37574.41863
C-39925,8054.280688
C-16917,108056.3254
C-27996,6907.282785
C-37659,33293.34362
C-15746,109325.6745
C-46465,43251.53769
C-40197,39951.19438
C-39307,94347.69457
C-23902,42327.01642
C-19873,8782.357314
C-47956,48853.81385
C-13273,20660.26648
C-48337,78822.80343
C-19271,17645.00571
C-37094,58307.59952
C-684,56388.54634
C-24481,27218.78963
C-12590,74612.6247
C-25151,45124.69432
C-17381,71391.89911
C-38274,31347.79141
C-1011,58885.08966
C-1000,88423.40659
C-20171,13956.72669
C-17936,108021.9786
C-44657,27954.27155
C-41222,62968.44632
C-42705,41125.32317
C-36949,97714.79891
C-17725,33037.18062
C-41035,40225.72648
C-2207,81162.42657
C-11404,33967.15942
C-1537,-294.6689217
C-49111,94695.6083
C-39701,48026.80933
C-14555,10673.53916
C-23018,28158.13436
C-26076,50788.61471
C-1292,60343.80495
C-33809,15410.18016
C-34753,6532.64536
C-30028,61644.23261
C-33662,36654.47147
C-11938,42416.96983
C-15030,90371.87498
C-25693,112762.9162
C-39706,31272.23043
C-49830,31539.34291
C-1215,32303.60896
C-22515,8131.678454
C-34267,52075.78398
C-31199,18759.5062
C-46236,5933.623826
C-16259,26242.57738
C-2730,41150.12633
C-17938,90043.63553
C-41242,38418.5115
C-378,42984.61888
C-15648,63352.72116
C-48043,82178.26967
C-3027,98430.63879
C-43249,19313.33533
C-26632,14641.78093
C-16859,60113.06302
C-23573,89045.51324
C-21886,13622.15623
C-31479,51595.19659
C-37999,80461.61356
C-45817,66774.01469
C-19011,19929.16172
C-36365,20415.8766
C-7416,34313.84441
C-677,13124.5869
C-10599,11713.39428
C-1103,14940.40847
C-44906,64242.33223
C-16804,36218.0483
C-38012,26741.23151
C-13987,156382.7208
C-19544,93734.06776
C-3349,41391.06752
C-38961,41207.23804
C-38259,13054.10935
C-3666,13252.56296
C-36638,62837.16768
C-18230,156546.2423
C-11076,34807.49748
C-31226,41123.14673
C-9312,26182.89058
C-10276,78373.54474
C-44905,17601.16549
C-33369,91884.42143
C-34166,35666.27698
C-45310,74306.88094
C-30527,97009.94075
C-4627,11013.5031
C-38353,130487.5552
C-4974,90986.03577
C-32095,4113.403794
C-13549,8696.992322
C-43862,53562.64879
C-6688,89076.55192
C-5382,33666.18157
C-36550,56259.24772
C-721,43863.75668
C-1325,111652.5005
C-21418,117331.7014
C-33431,17853.68277
C-25465,17522.77513
C-6769,17595.03808
C-35667,50622.60635
C-22630,13493.89229
C-1353,40266.85083
C-15765,34040.61826
C-47348,27692.30369
C-26798,49644.89227
C-1575,110270.6454
C-26100,22285.01467
C-41279,16814.50923
C-43388,71252.34113
C-11917,99624.79632
C-6243,31187.8955
C-1218,30858.97038
C-20692,38194.53431
C-37907,33923.92483
C-20591,102660.8884
C-34997,15079.06153
C-28405,37556.50843
C-45810,8748.972378
C-10134,32054.71886
C-9407,18312.17038
C-19191,40932.68735
C-15367,13058.83507
C-44513,56892.28943
C-34160,16338.31265
C-1599,33645.94357
C-31067,45238.77238
C-25519,34966.65047
C-19761,31005.73593
C-1661,83574.84452
C-2525,32817.31505
C-25450,14343.7954
C-34833,16861.53971
C-8560,26648.66216
C-20590,16627.76354
C-9890,75723.97422
C-3415,11361.88716
C-7271,23052.87746
C-948,14984.41845
C-2910,72957.65021
C-16054,49507.63557
C-21243,21832.86186
C-22407,114644.7418
C-46383,59790.64999
C-48914,13688.30574
C-16529,12541.39529
C-24655,16915.70658
C-1926,84116.98354
C-32783,51916.22808
C-30296,19982.18283
C-23621,69335.43072
C-35554,123264.9779
C-46261,34341.87778
C-34107,24046.19543
C-42655,21334.19224
C-39873,40321.68922
C-17191,2734.832307
C-23048,55121.40972
C-33498,22227.89797
C-906,23837.7908
C-7234,17321.57544
C-18364,24474.36597
C-4434,54831.91435
C-23245,100212.0649
C-17033,115038.4822
C-2814,64549.26121
C-39554,43893.35309
C-24123,33611.06621
C-7293,39963.32111
C-41615,7449.69496
C-4869,29325.18371
C-2885,36348.505
C-18098,80107.00495
C-8981,89349.109
C-15668,24339.23203
C-2158,77704.7944
C-47085,10468.21747
C-29563,9702.762949
C-6396,6908.686244
C-27245,25773.47559
C-9571,-4342.491702
C-13085,40239.24897
C-32744,12623.34999
C-49207,7492.385948
C-2573,113794.973
C-42732,35380.05259
C-32858,41913.01607
C-14529,23350.86565
C-7709,38961.41083
C-24245,175409.5611
C-28155,64553.65334
C-9237,68975.45949
C-20896,36428.10082
C-29529,35344.39411
C-49272,4655.994178
C-3094,86492.46499
C-4211,9034.491512
C-40530,46021.26688
C-26341,60213.55283
C-42206,63570.32603
C-31908,59255.40006
C-40632,64470.32461
C-14432,50531.25239
C-1169,7188.512417
C-29803,51603.44291
C-8662,142650.1791
C-11102,33620.03831
C-30954,17764.65405
C-48216,141216.2991
C-34932,17629.91832
C-16705,52361.32728
C-20735,19964.27393
C-10662,10320.05571
C-6235,105189.5542
C-20782,41471.00514
C-44827,136110.4309
C-33580,86284.9145
C-4046,20260.08691
C-15992,64198.51834
C-12605,76790.342
C-23469,15856.21423
C-16923,18202.54645
C-41969,24847.58267
C-5294,27226.98225
C-27875,38751.97803
C-1197,51412.68746
C-49768,18672.55638
C-2251,54501.1991
C-33006,14856.97538
C-26789,16936.24946
C-30239,35335.01975
C-26818,118124.3738
C-1901,6382.80561
C-23518,23482.47613
C-7565,84489.32794
C-27349,11679.58382
C-11188,96989.15829
C-8581,105020.8979
C-25313,77487.96818
C-14905,17144.07216
C-34147,35882.21108
C-19991,42152.55732
C-44,44643.34578
C-37087,87709.33113
C-22924,21728.48611
C-33444,33140.71253
C-3520,102084.4368
C-34874,14990.24026
C-24759,103853.7913
C-5163,24998.36869
C-24438,18761.14892
C-39224,28475.18348
C-2862,44157.39582
C-9322,73182.29192
C-14479,2005.532931
C-22571,7668.332725
C-33363,9516.050776
C-42425,23402.3045
C-12100,31891.35151
C-48101,38449.17875
C-4800,61662.88347
C-37439,78865.06093
C-18640,12780.74509
C-37478,35118.3638
C-45410,37829.7823
C-23721,41522.39813
C-20805,80610.12482
C-4203,55616.81368
C-31016,29241.71508
C-35333,2182.230232
C-27054,18339.73938
C-33869,17340.17011
C-5611,87361.91022
C-28015,44255.80734
C-7157,101033.4355
C-47876,8921.647288
C-45609,59305.00405
C-46711,60849.55853
C-37894,36865.89413
C-18639,60533.9257
C-39707,51695.83882
C-36104,130701.4707
C-13946,80649.93014
C-11258,154671.7571
C-43994,25451.22772
C-43714,49979.75983
C-47433,8574.091994
C-35828,21123.45647
C-24589,16433.93537
C-38955,10522.46016
C-14097,30839.3249
C-41681,67032.225
C-30975,32327.14121
C-42577,7956.667657
C-36919,8942.437639
C-24623,16835.01259
C-1994,8627.016443
C-47518,157931.3261
C-48910,100804.1676
C-27267,16201.27284
C-48509,86887.84389
C-33108,95205.15508
